ENTER , 73
THERE , 76
KING , 192
COME , 107
MOST , 81
'TIS , 72
WELL , 76
GOOD , 107
HOR , 109
O , 113
WHAT , 208
OUR , 120
WILL , 172
LET , 95
MAY , 78
LIKE , 84
THOU , 104
WOULD , 79
HOW , 90
MORE , 96
AS , 234
WAS , 83
KNOW , 73
HAMLET , 458
SIR , 74
THY , 86
THEY , 101
SHALL , 115
QUEEN , 117
LORD , 222
POL , 86
GO , 71
HER , 91
